code,industry_code,industry_sub_code,is_main,desc,industry_sub_name,num,industry_name,nk225,nk225hdy,nk225de,nk225ge,jpxnkms,nkcrs50,date,name,category,industry33code,industry33category,industry17code,industry17category,sizecode,sizecategory
3960,33,186,true,【プリカ導入支援】企業の販促用のプリペイドカード発行を支援。,自動販売機・券売機,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,バリューデザイン,マザーズ（内国株）,5250,情報・通信業,10,情報通信・サービスその他 ,0,
1387,-1,-1,false,"","",-1,,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ＵＢＳ　ＥＴＦ　ユーロ圏株（ＭＳＣＩ　ＥＭＵ）,ETF・ETN,0,,0,,0,
6457,33,187,true,【貨幣処理機大手】金融機関向けに強み。認証システムなども。,ＡＴＭ・キャッシュレジスター,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,グローリー,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
6418,33,187,true,【貨幣処理機大手】米国の貨幣識別機でトップ。カジノ向けに強み。,ＡＴＭ・キャッシュレジスター,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,日本金銭機械,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
6945,33,187,true,【富士通系電子機器メーカー】表示機器、携帯端末、金型も展開。,ＡＴＭ・キャッシュレジスター,3,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,富士通フロンテック,市場第二部（内国株）,3650,電気機器,9,電機・精密 ,0,
6460,33,188,true,【総合娯楽メーカー】パチスロ、ゲームソフト、娯楽施設を展開。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,セガサミーホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
6417,33,188,true,【パチンコ機製造・販売大手】フィーバー元祖、業界シェア大手。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ＳＡＮＫＹＯ,市場第一部（内国株）,3600,機械,8,機械 ,4,TOPIX Mid400
6425,33,188,true,【パチスロ機大手】CG技術活用。総合アミューズメント目指す。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,ユニバーサルエンターテインメント,JASDAQ(スタンダード・内国株）,3600,機械,8,機械 ,0,
6412,33,188,true,【パチンコ機大手】パチスロにも強み。新機種開発力に定評。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,平和,市場第一部（内国株）,3600,機械,8,機械 ,6,TOPIX Small 1
6419,33,188,true,【パチンコ周辺機器】プリペイドカードシステムが拡大中。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,マースグループホールディングス,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
6238,33,188,true,【プリントシール機大手】画像データの保存・共有サービスも。,パチンコ・業務用ゲーム機,11,業務用機械器具,false,false,false,false,false,false,2019-09-30 00:00:00.000000,フリュー,市場第一部（内国株）,3600,機械,8,機械 ,7,TOPIX Small 2
